reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion;;;;;
"6b1ea07c-62e2-4d01-bf81-cac8824d74d0,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Ok,5,0,,2024-06-30 13:36:41,""Dear Afiaazka Afia, terima kasih sudah menggunakan aplikasi KlikDokter untuk solusi kesehatan kamu. Jika ada pertanyaan, hubungi Customer Care via WhatsApp 0811800629 yang bisa diakses setiap hari selama 24 jam. #JagaSehatmu"",2024-06-30 14:42:38,";;;;;
"b7e22a29-9128-4145-bb4b-19ddfc0a5373,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Saya udh bayar tp gagal dan duitnya ga dikembalikan gimana sih ga amanat bngtt,1,0,,2024-06-21 01:42:09,""Dear Putrilenggo, mohon maaf atas ketidaknyamanannya. Ulasan kamu sangat membantu kami untuk memperbaiki pelayanan kami kedepannya. Jika berkenan silakan hubungi layanan Customer Care melalui WhatsApp 0811800629 yang bisa diakses 24 jam untuk membahas lebih lanjut ulasan kamu. #JagaSehatmu"",2024-06-21 01:48:19,";;;;;
"8246d8e9-4402-45a9-936b-bb9a8a825b1e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,""Pelayanan lama, tidak bisa membatalkan dan refund uang, terakhir kali makai klikdokter"",1,0,,2024-06-15 01:46:20,""Dear Muhammad Fahmi Ashadi, mohon maaf atas ketidaknyamanannya. Ulasan kamu sangat membantu kami untuk memperbaiki pelayanan kami kedepannya. Jika berkenan silakan hubungi layanan Customer Care melalui WhatsApp 0811800629 yang bisa diakses 24 jam untuk membahas lebih lanjut ulasan kamu. #JagaSehatmu"",2024-06-15 02:28:01,";;;;;
"eb03aceb-5b99-4324-b285-5133f2e72938,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Bagus tanpa harus pergi ke rs atu klinik..,5,0,v2.5.2,2024-06-11 02:13:20,""Dear Yuli dian23, terima kasih sudah menggunakan aplikasi KlikDokter untuk solusi kesehatan kamu. Jika ada pertanyaan, hubungi Customer Care via WhatsApp 0811800629 yang bisa diakses setiap hari selama 24 jam. #JagaSehatmu"",2024-06-11 02:16:22,v2.5.2";;;;;
"bf5c2653-7bab-4147-ba39-1952abbdb7f3,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Sangat membantu sekali,5,0,v2.5.2,2024-06-11 01:42:34,""Dear Wahyu Eko Raharjo, terima kasih sudah menggunakan aplikasi KlikDokter untuk solusi kesehatan kamu. Jika ada pertanyaan, hubungi Customer Care via WhatsApp 0811800629 yang bisa diakses setiap hari selama 24 jam. #JagaSehatmu"",2024-06-11 01:45:30,v2.5.2";;;;;
"5d0633ba-6613-4b63-a66e-45fd4af2814f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,""buruk, buang2 duit , udh lama bgt loadingnya eror mlu, udh install ulang buang2 kuota, doktet lama responnya blm slesai kejawab udh abs waktunya, klo ga mampu jawab ato overload gausah online jgn pda donlot tar nyeselll"",1,3,v2.5.2,2024-06-06 04:40:05,""Dear Friska Andara, mohon maaf atas ketidaknyamanannya. Ulasan kamu sangat membantu kami untuk memperbaiki pelayanan kami kedepannya. Jika berkenan silakan hubungi layanan Customer Care melalui WhatsApp 0811800629 yang bisa diakses 24 jam untuk membahas lebih lanjut ulasan kamu. #JagaSehatmu"",2023-06-20 13:26:52,v2.5.2";;;;;
"9f922086-5508-4169-8af5-bfb165029654,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Good,5,0,,2024-06-03 21:49:53,""Hai Aryadi Permana, terima kasih atas reviewnya, terus gunakan aplikasi KlikDokter karena selain bisa chat dengan dokter, masih banyak fitur lainnya yang tersedia. Jika ada pertanyaan, hubungi Customer Care via WhatsApp 0811800629 yang bisa diakses setiap hari selama 24 jam. #JagaSehatmu"",2024-06-03 23:02:44,";;;;;
"df51e1d3-42d7-4dc9-abdb-3661189531bb,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,In kenapa kok g bisa terhubung saldo 0 trs padahal sudah di isi,3,0,,2024-06-02 11:40:26,""Dear Ca Nca, mohon maaf atas ketidaknyamanannya. Ulasan kamu sangat membantu kami untuk memperbaiki pelayanan kami kedepannya. Jika berkenan silakan hubungi layanan Customer Care melalui WhatsApp 0811800629 yang bisa diakses 24 jam untuk membahas lebih lanjut ulasan kamu. #JagaSehatmu"",2024-06-02 15:16:39,";;;;;
"a6170c7b-5db8-499a-a82e-680e64d5ee6b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Mohon perbaikannya pada BUG,4,1,v2.5.2,2024-06-01 11:16:15,""Dear UpNormal Traveller, mohon maaf atas ketidaknyamanannya. Ulasan kamu sangat membantu kami untuk memperbaiki pelayanan kami kedepannya. Jika berkenan silakan hubungi layanan Customer Care melalui WhatsApp 0811800629 yang bisa diakses 24 jam untuk membahas lebih lanjut ulasan kamu. #JagaSehatmu"",2024-04-25 02:49:14,v2.5.2";;;;;
"6ad8fd05-8c22-4ae6-983e-79e226689af2,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,""Nggak bisa masuk akun klikdokter, katanya no hp sudah terdaftar, ya emang sudah daftar kan mau masuk, gimana sih min mohon diperbaiki secepatnya.."",1,11,v2.5.2,2024-05-31 09:32:20,""Dear Atikah Salsabilla, mohon maaf atas ketidaknyamanannya. Ulasan kamu sangat membantu kami untuk memperbaiki pelayanan kami kedepannya. Jika berkenan silakan hubungi layanan Customer Care melalui WhatsApp 0811800629 yang bisa diakses 24 jam untuk membahas lebih lanjut ulasan kamu. #JagaSehatmu"",2024-05-31 08:30:50,v2.5.2";;;;;
"f20ddb4d-b686-419a-8671-77eed4c84400,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,MANTAP,5,0,,2024-05-28 05:35:49,""Dear Anggna Syahptra, terima kasih atas kepercayaan menjadikan KlikDokter sebagai solusi kesehatan terbaik untuk kamu dan keluarga. Nikmati fitur menarik lainnya agar mendapatkan informasi kesehatan yang kamu butuhkan. Jika ada pertanyaan, hubungi Customer Care via WhatsApp 0811800629 yang bisa diakses setiap hari selama 24 jam. #JagaSehatmu"",2024-05-31 08:32:42,";;;;;
"2d209da5-23ba-4090-bdcb-24fbd6327e6e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,""Tidak ada respon sma skali,padahal udah di bayar!"",1,1,v2.5.2,2024-05-22 16:37:43,""Dear Evangli Engka, mohon maaf atas ketidaknyamanannya. Ulasan kamu sangat membantu kami untuk memperbaiki pelayanan kami kedepannya. Jika berkenan silakan hubungi layanan Customer Care melalui WhatsApp 0811800629 yang bisa diakses 24 jam untuk membahas lebih lanjut ulasan kamu. #JagaSehatmu"",2024-05-22 16:44:12,v2.5.2";;;;;
"373baba9-ac0f-44c3-9819-62ac5e814279,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,6e3 ki òo,3,0,v2.3.51,2024-05-21 08:43:07,""Dear Andon Suradji, mohon maaf atas ketidaknyamanannya. Ulasan kamu sangat membantu kami untuk memperbaiki pelayanan kami kedepannya. Jika berkenan silakan hubungi layanan Customer Care melalui WhatsApp 0811800629 yang bisa diakses 24 jam untuk membahas lebih lanjut ulasan kamu. #JagaSehatmu"",2024-05-21 10:05:00,v2.3.51";;;;;
"cd31bc30-638d-4615-900e-1914127ea491,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,""Tolong ya bilang ke dokter nya saya tuh bayar ya cuma konsultasi doang, saya sudah chat keluhan sakit saya tapi cuma diread dan status online tidak dibales selama 30 menit saya tunggu ,uang tidak bisa di refund dan tidak ada jawaban sama sekali, sangat sangat sangat KECEWA untuk pertama & terakhir menggunakan apk ini"",1,17,v2.5.1,2024-05-10 15:24:05,""Dear Sheren Day, mohon maaf atas ketidaknyamanannya. Ulasan kamu sangat membantu kami untuk memperbaiki pelayanan kami kedepannya. Jika berkenan silakan hubungi layanan Customer Care melalui WhatsApp 0811800629 yang bisa diakses 24 jam untuk membahas lebih lanjut ulasan kamu. #JagaSehatmu"",2024-05-10 15:28:28,v2.5.1";;;;;
"40cda68d-485a-4308-bc69-773c13cab766,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,""Aplikasi ini sangat sangat jelek. Uang saya hilang disini. Konsultasi dibatalkan, uang yg sudah terlanjur masuk sebesar 50.000 diganti dengan voucher 50.000. Tapi ternyata voucher tidak bisa digunakan. Baru saya gunakan 10.000, yg lainnya hangus padahal tertulis kode voucher bisa digunakan sampai bulan selanjutnya. Percuma aplikasi seperti ini, penipuan berkedok kesehatan."",1,9,v2.4.1,2024-05-04 03:27:59,""Dear Sri Kustiyani, mohon maaf atas ketidaknyamanannya. Ulasan kamu sangat membantu kami untuk memperbaiki pelayanan kami kedepannya. Jika berkenan silakan hubungi layanan Customer Care melalui WhatsApp 0811800629 yang bisa diakses 24 jam untuk membahas lebih lanjut ulasan kamu. #JagaSehatmu"",2024-05-04 03:34:41,v2.4.1";;;;;
"2add140c-98f4-4ce0-86c2-f1a4061e480d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Kurang sip,1,0,2.3.1,2024-05-01 04:59:58,""Dear yulfi prasetiawan, mohon maaf atas ketidaknyamanannya. Ulasan kamu sangat membantu kami untuk memperbaiki pelayanan kami kedepannya. Jika berkenan silakan hubungi layanan Customer Care melalui WhatsApp 0811800629 yang bisa diakses 24 jam untuk membahas lebih lanjut ulasan kamu. #JagaSehatmu"",2024-05-01 05:03:41,2.3.1";;;;;
"601ef4a0-4566-4c37-bc62-38800772ea06,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Sangat bermanfaat walaupun banyak delaynya..,5,9,v2.4.1,2024-04-28 06:59:09,""Dear Hermansyah Nur Ahmad, terima kasih telah menjadikan KlikDokter sebagai solusi kesehatan terbaik untuk kamu dan keluarga. Nikmati fitur menarik lainnya agar mendapatkan informasi kesehatan yang kamu butuhkan. Jika ada pertanyaan, hubungi Customer Care via WhatsApp 0811800629 yang bisa diakses setiap hari selama 24 jam. #JagaSehatmu"",2024-04-28 07:27:13,v2.4.1";;;;;
"c91aae65-bf9c-4beb-89bc-d123e4de7c55,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Tolong....klo dokternya tidak ada jadwal kasih status offline....dokter tidak ada jadwal tapi statusnya online....buang2 duit konsul tapi g di bales karena bukan jadwalnya gara2 liat statusnya online....hadeuh,3,3,v2.4.1,2024-04-19 08:04:18,""Dear Allinea 99, mohon maaf atas ketidaknyamanannya. Ulasan kamu sangat membantu kami untuk memperbaiki pelayanan kami kedepannya. Jika berkenan silakan hubungi layanan Customer Care melalui WhatsApp 0811800629 yang bisa diakses 24 jam untuk membahas lebih lanjut ulasan kamu. #JagaSehatmu"",2024-04-19 08:07:44,v2.4.1";;;;;
"55c61d85-89f1-4caf-8d0a-1c12b4022408,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Ampas aplikadinya,1,0,v2.4.1,2024-04-03 20:04:35,""Dear Ahmad Afrizal, mohon maaf atas ketidaknyamanannya. Ulasan kamu sangat membantu kami untuk memperbaiki pelayanan kami kedepannya. Jika berkenan silakan hubungi layanan Customer Care melalui WhatsApp 0811800629 yang bisa diakses 24 jam untuk membahas lebih lanjut ulasan kamu. #JagaSehatmu"",2024-04-03 20:54:56,v2.4.1";;;;;
"c4e11358-e092-4eb7-8c84-051f3df7bb5f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,App lemot,1,0,v2.3.6,2024-03-28 05:39:59,""Dear Fajar Mayang, mohon maaf atas ketidaknyamanannya. Ulasan kamu sangat membantu kami untuk memperbaiki pelayanan kami kedepannya. Jika berkenan silakan hubungi layanan Customer Care melalui WhatsApp 0811800629 yang bisa diakses 24 jam untuk membahas lebih lanjut ulasan kamu. #JagaSehatmu"",2024-03-28 05:54:04,v2.3.6";;;;;
"774f2c9d-e46b-487b-95fd-51a66135777d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Sudah transfer buar konsul malah dokter mya batalin...mn cash nya masuk jadi voucher...aplikasi ga guna,1,2,v2.3.6,2024-03-08 17:29:44,""Dear Javanesse Antiques, mohon maaf atas ketidaknyamanannya. Ulasan kamu sangat membantu kami untuk memperbaiki pelayanan kami kedepannya. Jika berkenan silakan hubungi layanan Customer Care melalui WhatsApp 0811800629 yang bisa diakses 24 jam untuk membahas lebih lanjut ulasan kamu. #JagaSehatmu"",2024-03-13 08:42:28,v2.3.6";;;;;
"a15bca09-a44f-4612-9714-81328cdafad5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Gatal badan dan kepala ?,5,0,1.27.15,2024-03-06 06:49:07,""Dear Yulius bulo, terima kasih sudah menggunakan aplikasi KlikDokter untuk solusi kesehatan kamu. Jika ada pertanyaan, hubungi Customer Care via WhatsApp 0811800629 yang bisa diakses setiap hari selama 24 jam. #JagaSehatmu"",2024-03-06 07:12:47,1.27.15";;;;;
"129eea9f-c58f-4e5d-9c14-11ecafc17f82,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,""Harusnya terintegrasi dengan baik. Nyata nya semua ditanya tanya lewat wa dengan cs klik dokter. Percuma donk ada aplikasi. Trus resep lama sekali tdk muncuk muncul sudah s3lesai chat padahal 1,5 jam sebelumnya"",1,12,v2.3.51,2024-03-01 04:14:43,""Dear Lia Fidiyanti, mohon maaf atas ketidaknyamanannya. Ulasan kamu sangat membantu kami untuk memperbaiki pelayanan kami kedepannya. Jika berkenan silakan hubungi layanan Customer Care melalui WhatsApp 0811800629 yang bisa diakses 24 jam untuk membahas lebih lanjut ulasan kamu. #JagaSehatmu"",2024-03-01 04:28:15,v2.3.51";;;;;
"f1d07deb-39b9-4653-abf6-6b772cc09104,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Bagus,5,0,v2.3.51,2024-02-28 16:07:10,""Dear Petir M.Fatir.Fatir.144, terima kasih sudah menggunakan aplikasi KlikDokter untuk solusi kesehatan kamu. Jika ada pertanyaan, hubungi Customer Care via WhatsApp 0811800629 yang bisa diakses setiap hari selama 24 jam. #JagaSehatmu"",2024-02-28 16:09:11,v2.3.51";;;;;
"5fdb7aa6-41bc-455d-b840-263ef31668a1,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Ruweet.. Ruwet.. Ruwet,1,0,v2.3.4,2024-02-10 08:20:52,""Dear Jhon Erizal, mohon maaf atas ketidaknyamanannya. Ulasan kamu sangat membantu kami untuk memperbaiki pelayanan kami kedepannya. Jika berkenan silakan hubungi layanan Customer Care melalui WhatsApp 0811800629 yang bisa diakses 24 jam untuk membahas lebih lanjut ulasan kamu. #JagaSehatmu"",2024-02-10 11:53:33,v2.3.4";;;;;
"b80c38b6-e024-4de1-9e64-acd5a7b15746,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,""Dulu pernah gratis buat konsultasi Kok sekarang bayar sih ,?"",2,0,,2024-02-08 12:54:32,""Dear Nunung Nurhayati, mohon maaf atas ketidaknyamanannya terkait layanan konsultasi Instan atau konsultasi gratis saat ini tidak tersedia. Kami senantiasa meningkatkan layanan konsultasi.Tidak perlu khawatir karena kami sediakan berbagai promo konsultasi. #JagaSehatmu"",2024-02-08 14:22:51,";;;;;
"e219d85f-7d28-4132-9bd1-2305a6ab85a1,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Alhamdulillah syukur,5,0,,2024-02-06 07:47:27,""Dear Subedjo Sandjojo, terima kasih sudah menggunakan aplikasi KlikDokter untuk solusi kesehatan kamu. Jika ada pertanyaan, hubungi Customer Care via WhatsApp 0811800629 yang bisa diakses setiap hari selama 24 jam. #JagaSehatmu"",2024-02-06 09:39:43,";;;;;
"e02265fd-2824-4f1d-b3a6-ffcd4c47f2e2,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Aplikasi nya sih bagus ya membantu namun sangat disyangkan sekali riwayat chat konsultasi kita sma dokter hilang.. Itu sangat disayangkan sekali...pdhl itu paling penting krna kita butuh riwayat konsultasi/chat kita buat ngeliat resep obat yg sdh dresep kan dokter kmren.. tp gk ad sma skli riwayat chat nya...TANYA Cs nya dgn alsan pembahruan...tp daplikasi sbelh udh bbrp kali tu pembahruan chat sya dlu dr tahun 2020 smpe skrg msh ad...kan lucu..,1,0,,2024-01-27 17:05:37,""Dear Arulgiovani Arulgiovanie, mohon maaf atas ketidaknyamanannya. Ulasan kamu sangat membantu kami untuk memperbaiki pelayanan kami kedepannya. Jika berkenan silakan hubungi layanan Customer Care melalui WhatsApp 0811800629 yang bisa diakses 24 jam untuk membahas lebih lanjut ulasan kamu. #JagaSehatmu"",2024-01-27 18:24:27,";;;;;
"1d3be9c2-d8b3-4031-9903-ae1fc139dbc0,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Prodia,4,0,2.3.3,2024-01-18 10:24:11,""Dear Dira, terima kasih sudah menggunakan aplikasi KlikDokter untuk solusi kesehatan kamu. Jika ada pertanyaan, hubungi Customer Care via WhatsApp 0811800629 yang bisa diakses setiap hari selama 24 jam. #JagaSehatmu"",2024-01-18 10:28:13,2.3.3";;;;;
"b3c4d0f9-56cb-4481-ba25-33308571cdb2,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Dlu aq pake ini gratis GK bayar tp knp pas pake lgi hrs bayar ?????,1,0,,2024-01-03 09:06:24,""Dear Menik Nurhayati, mohon maaf atas ketidaknyamanannya terkait layanan konsultasi Instan atau konsultasi gratis saat ini tidak tersedia. Kami senantiasa meningkatkan layanan konsultasi.Tidak perlu khawatir karena kami sediakan berbagai promo konsultasi. #JagaSehatmu"",2024-01-03 10:20:30,";;;;;
